Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
1,1,1,0.2680143691220667,0,0,PC 17613,-0.1408260456827061,0,0
0,3,0,-0.3624745864489434,0,0,349250,-0.4962194253119416,0,1
0,3,0,0.18920324967569047,0,0,C 4001,-0.2339686899136056,0,1
0,3,0,-0.2048523475561909,0,0,SOTON/O.Q. 3101308,-0.5113816810743833,0,1
0,2,0,-0.9929635420199536,0,0,S.O.C. 14879,0.6798359772541261,0,1
1,2,1,2.395914594174226,1,0,24065,-0.1716740117692629,0,1
1,3,1,0.6620699663539481,4,2,347091,-0.49838494966297375,0,1
0,1,0,0.9773144441394531,0,0,113038,0.1241136686283354,0,1
1,3,1,-0.2048523475561909,0,0,330924,-0.49651700564494766,1,0
0,1,0,2.159481235835097,1,1,36928,2.3177235080773535,0,1
1,1,1,1.6078033997104633,1,1,113503,3.15369657694313,0,0
0,3,0,-0.2048523475561909,0,0,32302,-0.4934551549896804,0,1
1,2,1,0.031581010782937916,1,0,SC/PARIS 2148,-0.3893325135319004,0,0
0,3,0,-0.6777190642344485,0,0,342684,-0.4934551549896804,0,1
1,2,1,-0.5989079447880722,0,0,W./C. 14266,-0.44953516608215827,0,1
0,3,0,-0.6777190642344485,0,0,350053,-0.4980120779204119,0,1
1,1,1,1.8442367580495922,0,0,PC 17606,-0.14575584035599945,0,0
1,3,1,-0.2048523475561909,0,2,2661,-0.3644594585893751,0,0
0,3,0,-0.520096825341696,0,0,350054,-0.4980120779204119,0,1
1,3,1,-0.2048523475561909,0,0,370368,-0.4988331128150913,1,0
0,3,0,0.8590977649698888,0,0,C.A. 6212,-0.3670731460925248,0,1
0,2,0,0.5044477274611955,0,0,242963,-0.40471885087040094,0,1
0,2,0,-1.2293969003590823,0,0,220845,0.5274605055341512,0,1
1,1,1,-0.6777190642344485,0,0,113795,-0.16181442242267627,0,1
0,3,0,-0.6777190642344485,1,0,3101266,-0.5213165618305258,0,1
0,3,0,-0.2048523475561909,0,0,330971,-0.49651700564494766,1,0
0,1,0,0.7408810858003243,1,0,PC 17599,0.6400982468821651,0,0
0,3,0,-0.7565301836808248,0,0,350416,-0.4969651687970653,0,1
0,1,0,2.7111590719597314,1,0,110813,0.7112073979023562,0,0
0,3,0,-0.7565301836808248,0,0,2679,-0.5082445390095603,0,0
1,2,1,-0.9141524225735773,1,1,250650,-0.40471885087040094,0,1
1,1,1,1.4501811608177106,1,0,PC 17761,1.2700668485929698,0,0
1,1,1,2.0018589969423446,0,0,112377,-0.1408260456827061,0,0
1,2,1,1.213747802478582,0,2,237789,-0.0999679074304512,0,1
0,1,0,1.213747802478582,1,1,16966,1.7733540684210047,0,0
0,3,0,-0.2048523475561909,0,0,3470,-0.4963682154784447,0,1
0,3,0,-0.2048523475561909,1,2,W./C. 6607,-0.2173866532852554,0,1
0,1,0,0.8985033246930769,1,0,17464,0.29195076909636647,0,1
1,2,1,-0.5989079447880722,0,0,F.C.C. 13534,-0.26130664219277755,0,1
0,2,0,0.9773144441394531,1,1,28220,-0.055151592218693875,0,1
1,2,1,-0.04723010866343835,1,0,26707,-0.1716740117692629,0,1
1,3,1,-0.2048523475561909,1,0,2660,-0.37865009663802596,0,0
1,2,1,-2.260246342717684,1,2,C.A. 34651,-0.14030259112103277,0,1
0,3,0,-0.7565301836808248,0,0,SOTON/O2 3101284,-0.4956959707502683,0,1
0,1,0,-0.2048523475561909,1,0,13508,1.8142122066732598,0,0
0,3,0,-0.4412857058953197,0,0,7266,-0.4705988342316842,0,1
0,3,0,0.2286088093988786,0,0,345775,-0.4674616921668612,0,1
0,3,0,-0.2048523475561909,0,0,C.A. 42795,-0.5024184180320319,0,1
0,3,0,-0.2048523475561909,0,0,AQ/4 3130,-0.4988331128150913,1,0
0,3,0,-0.1260412281098146,0,0,363611,-0.4934551549896804,0,1
1,2,1,-0.835341303127201,0,0,28404,-0.40471885087040094,0,1
0,3,0,-0.6777190642344485,0,0,345501,-0.49838494966297375,0,1
0,3,0,0.5438532871843836,1,0,345572,-0.32584213609770807,0,1
0,3,0,-0.6777190642344485,0,0,350410,-0.4969651687970653,0,1
1,2,1,-0.04723010866343835,0,2,29103,-0.22545359002337167,0,1
1,3,1,-2.253941453161974,1,1,350405,-0.41935944472377784,0,1
0,2,0,0.031581010782937916,0,0,C.A. 34644,-0.40942456396763544,0,0
0,3,0,-0.2048523475561909,0,0,349235,-0.4962194253119416,0,1
0,1,0,-0.2048523475561909,0,0,112051,-0.637763689971539,0,1
0,3,0,-0.2048523475561909,0,0,C.A. 49867,-0.5024184180320319,0,1
1,3,1,-0.2048523475561909,0,0,A. 2. 39186,-0.4934551549896804,0,1
0,3,0,-0.9929635420199536,0,0,315095,-0.48247515776279987,0,1
0,1,0,1.2925589219249582,0,0,13050,0.711058607735853,0,0
0,3,0,-0.2048523475561909,0,0,368573,-0.4988331128150913,1,0
1,1,1,-0.28366346700256717,1,0,13508,1.8142122066732598,0,0
1,3,1,-0.2048523475561909,1,0,370371,-0.3599025356586436,1,0
0,3,0,-0.2048523475561909,0,0,2676,-0.5082445390095603,0,0
1,2,1,-0.7565301836808248,1,0,236853,-0.1716740117692629,0,1
0,2,0,-0.1260412281098146,0,0,SC 14888,-0.44953516608215827,0,1
0,2,0,0.8196922052467006,1,0,2926,-0.1716740117692629,0,1
0,2,0,0.031581010782937916,1,0,CA 31352,-0.26130664219277755,0,1
0,2,0,-0.5989079447880722,0,0,W./C. 14260,-0.44953516608215827,0,1
1,3,1,-0.520096825341696,0,0,315085,-0.48247515776279987,0,1
0,3,0,-2.273644233023568,1,1,SOTON/O.Q. 3101315,-0.3908257931547562,0,1
1,3,1,-0.2048523475561909,0,0,364859,-0.4988331128150913,1,0
1,3,1,-1.6234524975909637,1,1,2650,-0.3644594585893751,0,0
1,3,1,-2.1751303337155976,1,1,370129,-0.2754237814844811,0,1
0,3,0,0.5044477274611955,0,0,A/5 21175,-0.5077963758574427,0,1
0,3,0,-0.2048523475561909,0,0,SOTON/O.Q. 3101314,-0.5077963758574427,0,1
0,1,0,-0.4412857058953197,1,0,21228,0.8369924534808912,0,1
0,3,0,-0.2048523475561909,0,0,2655,-0.5081692476000046,0,0
0,3,0,-0.2048523475561909,0,0,A/5 1478,-0.4934551549896804,0,1
0,1,0,-0.2048523475561909,0,0,PC 17607,0.07212674298269693,0,1
1,3,1,0.031581010782937916,0,0,382650,-0.5131743336828537,1,0
0,3,0,-0.2048523475561909,0,0,2652,-0.5081692476000046,0,0
0,1,0,1.8442367580495922,1,1,33638,0.8296712602278986,0,1
0,3,0,0.5044477274611955,0,0,345771,-0.4674616921668612,0,1
0,3,0,-0.28366346700256717,0,0,349202,-0.4962194253119416,0,1
1,2,1,-2.253941453161974,1,2,SC/Paris 2123,0.10760692340954094,0,0
0,3,0,-0.2048523475561909,2,0,2662,-0.24913094567604727,0,0
0,1,0,0.031581010782937916,0,0,113801,0.17789324688244418,0,1
0,3,0,-0.04723010866343835,0,0,347467,-0.4969651687970653,0,1
0,3,0,0.18920324967569047,0,0,347079,-0.49838494966297375,0,1
0,2,0,-0.2048523475561909,0,0,237735,-0.3680447638063157,0,0
0,2,0,1.0561255635858293,0,1,S.O./P.P. 2,-0.26130664219277755,0,1
0,3,0,-0.4412857058953197,0,0,315092,-0.48247515776279987,0,1
1,3,1,-0.2048523475561909,0,0,383123,-0.4988331128150913,1,0
1,1,1,2.7111590719597314,1,1,112901,-0.16181442242267627,0,1
0,1,0,0.031581010782937916,1,2,113781,2.07900133816519,0,1
0,3,0,-2.267339343467858,0,1,392091,-0.4701506710795666,0,1
0,1,0,2.0018589969423446,1,1,12749,1.0383664989481847,0,1
1,3,1,1.213747802478582,1,0,350026,-0.3848508820107247,0,1
0,3,0,-0.9141524225735773,0,0,315091,-0.48247515776279987,0,1
0,3,0,-0.5989079447880722,0,0,2658,-0.5082445390095603,0,0
0,3,0,-0.2048523475561909,0,0,LP 1588,-0.5019702548799143,0,1
1,3,1,0.5832588469075718,0,0,368364,-0.4988331128150913,1,0
1,1,1,2.0018589969423446,0,0,PC 17760,1.7936702004327985,0,0
1,3,1,-0.9929635420199536,0,0,AQ/3. 30631,-0.49913248580070585,1,0
0,1,0,2.159481235835097,1,0,PC 17569,1.9888452531800018,0,0
0,2,0,-0.835341303127201,0,0,28004,-0.44953516608215827,0,1
0,3,0,-0.2048523475561909,0,0,350408,-0.4969651687970653,0,1
0,2,0,-0.5989079447880722,2,0,C.A. 31029,-0.0730781183033968,0,1
0,3,0,-0.28366346700256717,0,0,347075,-0.49838494966297375,0,1
0,3,0,-0.3624745864489434,0,0,2654,-0.5081692476000046,0,0
0,2,0,-0.28366346700256717,0,0,244368,-0.40471885087040094,0,1
0,1,0,0.2680143691220667,0,0,113790,-0.16181442242267627,0,1
1,1,1,0.7408810858003243,0,0,24160,3.150783516454366,0,1
0,3,0,-0.520096825341696,0,0,SOTON/O.Q. 3101309,-0.5113816810743833,0,1
1,2,1,-1.387019139251835,2,1,230136,0.06137082733187515,0,1
0,1,0,1.2925589219249582,0,0,PC 17585,0.7820171759369329,0,0
0,2,0,-0.04723010866343835,1,0,2003,-0.1716740117692629,0,1
0,2,0,-0.6777190642344485,0,0,236854,-0.40471885087040094,0,1
1,2,1,1.4501811608177106,0,2,C.A. 33112,0.02103614364129356,0,1
0,1,0,0.7408810858003243,0,0,PC 17580,-0.10534586525586208,0,0
0,3,0,-0.2048523475561909,0,0,2684,-0.5082445390095603,0,0
1,3,1,-0.835341303127201,1,1,2653,-0.3555696943039709,0,0
0,3,0,-0.2048523475561909,0,0,349229,-0.4962194253119416,0,1
0,1,0,0.031581010782937916,0,0,110469,-0.1716740117692629,0,1
0,2,0,0.18920324967569047,0,0,244360,-0.40471885087040094,0,1
0,3,0,0.7408810858003243,0,2,2675,-0.5081692476000046,0,0
0,2,0,-0.3624745864489434,0,0,C.A. 31029,-0.0730781183033968,0,1
0,3,0,-0.2048523475561909,0,0,2622,-0.5081692476000046,0,0
0,2,0,-0.9141524225735773,0,0,C.A. 15185,-0.44953516608215827,0,1
0,3,0,0.18920324967569047,0,0,350403,-0.5018949634703586,0,1
0,3,0,-0.2048523475561909,1,9,CA. 2343,0.6090261992195495,0,1
1,1,1,2.2382923552814735,0,1,PC 17755,8.546519077783444,0,0
0,3,0,-0.2048523475561909,1,1,A/5. 851,-0.3778290617433466,0,1
1,3,1,-1.07177466146633,0,0,348125,-0.5006257654235616,0,1
0,2,0,-0.28366346700256717,0,0,237670,-0.40471885087040094,0,1
1,3,1,0.6620699663539481,0,0,2688,-0.5081692476000046,0,0
0,2,0,-0.4412857058953197,0,0,248726,-0.3957555878280495,0,1
1,2,1,0.11039213022931418,0,0,F.C.C. 13528,-0.26130664219277755,0,1
1,1,1,1.213747802478582,0,1,PC 17759,0.49803052766089445,0,0
0,2,0,-0.3624745864489434,0,0,F.C.C. 13540,-0.44953516608215827,0,1
0,2,0,-0.9141524225735773,0,0,S.O.C. 14879,0.6798359772541261,0,1
0,2,0,1.528992280264087,1,2,220845,0.5274605055341512,0,1
1,3,1,-2.319354682302466,1,2,C.A. 2315,-0.26892541577877627,0,1
0,1,0,1.6078033997104633,0,0,113044,-0.1716740117692629,0,1
1,1,1,2.31710347472785,2,0,11769,0.2850795316480999,0,1
0,3,0,-0.2048523475561909,0,0,1222,-0.49651700564494766,0,1
0,3,0,-0.2048523475561909,0,0,368402,-0.4988331128150913,1,0
1,3,1,0.031581010782937916,1,0,349910,-0.35900620935440847,0,1
0,3,0,-1.1899913406358942,8,2,CA. 2343,0.6090261992195495,0,1
1,2,1,-0.4412857058953197,1,1,S.C./PARIS 2079,0.025593066572024994,0,0
1,2,1,0.11039213022931418,0,0,CA 31352,-0.26130664219277755,0,1
0,3,0,-0.2048523475561909,0,0,315083,-0.48247515776279987,0,1
1,1,1,-0.3624745864489434,1,0,11765,0.3561133912587352,0,0
1,3,1,-0.2048523475561909,1,9,CA. 2343,0.6090261992195495,0,1
0,3,0,-0.2048523475561909,1,0,2689,-0.37857659788107867,0,0
1,3,1,-0.5989079447880722,0,0,3101295,0.07369531401510841,0,1
1,1,1,1.213747802478582,0,1,112378,0.4270719594598148,0,0
0,2,0,-0.04723010866343835,0,0,SC/PARIS 2147,-0.3893325135319004,0,0
0,2,0,-0.6777190642344485,1,0,28133,-0.43160863999745536,0,1
1,1,1,0.11039213022931418,0,0,16966,1.7733540684210047,0,0
0,1,0,1.528992280264087,0,0,112058,-0.637763689971539,0,1
0,2,0,1.1349366830322056,0,0,248746,-0.40471885087040094,0,1
1,1,1,1.9230478774959683,1,1,33638,0.8296712602278986,0,1
1,1,1,1.213747802478582,0,0,PC 17608,4.065708591502392,0,0
1,3,1,-0.5989079447880722,2,0,315152,-0.48247515776279987,0,1
0,2,0,-0.6777190642344485,0,0,29107,-0.43160863999745536,0,1
0,1,0,2.0018589969423446,0,0,680,0.2585626142636073,0,1
0,3,0,-1.938696975376469,4,2,347077,-0.0750948524879259,0,1
0,3,0,-0.2048523475561909,0,0,366713,-0.4988331128150913,1,0
0,3,0,-0.28366346700256717,0,0,330910,-0.49651700564494766,1,0
1,3,1,-0.2048523475561909,0,0,364498,-0.3778290617433466,0,1
1,3,1,-0.835341303127201,1,0,376566,-0.3491466200078219,0,1
0,2,0,-0.2048523475561909,0,0,SC/PARIS 2159,-0.4069596666309888,0,1
1,2,1,-0.4412857058953197,1,2,220845,0.5274605055341512,0,1
0,3,0,-0.4412857058953197,0,0,349911,-0.49838494966297375,0,1
0,2,0,2.159481235835097,0,0,244346,-0.40471885087040094,0,1
0,3,0,-0.6777190642344485,0,0,364858,-0.4988331128150913,1,0
0,3,0,-1.8598858559300926,3,1,349909,-0.2599621527364248,0,1
0,1,0,-0.520096825341696,0,0,12749,1.0383664989481847,0,1
1,1,1,1.6866145191568396,0,1,PC 17592,0.06854143776575629,0,1
0,3,0,-1.3082080198054586,0,2,C.A. 2673,-0.2747515367563047,0,1
0,2,0,1.3713700413713346,0,0,C.A. 30769,-0.44953516608215827,0,1
0,3,0,-0.04723010866343835,3,1,315153,-0.24293195295595707,0,1
1,1,1,-0.9141524225735773,1,0,13695,0.4378278751106366,0,1
0,3,0,-0.4412857058953197,0,0,371109,-0.5077963758574427,1,0
1,1,1,1.4501811608177106,1,1,13567,0.7820171759369329,0,0
0,3,0,-0.5989079447880722,0,0,347065,-0.49838494966297375,0,1
0,3,0,0.11039213022931418,0,0,21332,-0.49913248580070585,1,0
1,1,1,0.031581010782937916,0,0,36928,2.3177235080773535,0,1
0,2,0,0.6620699663539481,1,0,28664,-0.26130664219277755,0,1
1,1,1,-0.5989079447880722,0,1,112378,0.4270719594598148,0,0
0,1,0,-0.9929635420199536,0,0,113059,0.20657568861796888,0,1
0,1,0,1.0561255635858293,1,0,17765,-0.1408260456827061,0,0
0,2,0,-0.7565301836808248,0,0,SC/PARIS 2166,-0.38925722212234465,0,0
0,2,0,-0.520096825341696,1,0,28666,-0.44953516608215827,0,1
0,1,0,1.6078033997104633,1,1,113503,3.15369657694313,0,0
1,3,1,-0.2048523475561909,0,0,334915,-0.49935656737676465,1,0
1,3,1,-2.0963192142692213,1,1,SOTON/O.Q. 3101315,-0.3908257931547562,0,1
1,3,1,-0.2048523475561909,0,0,365237,-0.4988331128150913,1,0
1,1,1,0.5832588469075718,1,0,19928,0.9756236576517244,1,0
1,3,1,-0.1260412281098146,0,0,347086,-0.49838494966297375,0,1
0,3,0,-0.2048523475561909,0,0,A.5. 3236,-0.4934551549896804,0,1
1,1,1,0.7408810858003243,0,0,PC 17758,1.31443500065261,0,0
0,3,0,0.7014755260771361,0,0,SOTON/O.Q. 3101262,-0.5077963758574427,0,1
0,3,0,-0.2048523475561909,0,0,359309,-0.4934551549896804,0,1
0,3,0,-0.2048523475561909,1,1,2668,-0.23695704181192556,0,0
